Label,Volume,Elongation,Flatness,Radius,CentroidX,CentroidY,CentroidZ,IntensitySkewness, IntensityMean, IntensitySTD, IntensityKurtosis, Axis1length, Axis2length, Axis3length
70,274,1.82340623378719,1.6013366235144,4.0292169399041,464.974452554745,259.576642335766,300.923357664234,0.864149144920187,0.00140183058845212,0.000341031074354346,0.360278115706766,4.81912003870701,7.71703341109367,14.0712868281322
74,390,1.64275535191744,1.87276675561278,4.53236975275136,436.733333333333,269.720512820513,300.584615384615,0.443827476438049,0.0013871632282061,0.000344519872104126,0.45921731511292,5.05640560106912,9.46946831257649,15.5560197502976
80,136,1.40877446686225,1.26434348925796,3.19019159401085,444.110294117647,277.022058823529,300.536764705882,0.545942664434398,0.00123070909638259,0.000315856784367931,-0.424035146642384,4.86768971782335,6.15443180245786,8.67020638134762
101,258,1.23712542780913,1.26090261956023,3.9492112504377,411.511627906977,217.406976744186,304.693798449612,0.423427653332592,0.00171674026651019,0.00033564325953162,-0.132020910154469,6.30397891764319,7.94870353090879,9.83354325620347
117,197,1.34152832555673,1.34993915557254,3.60960106097249,428.329949238579,214.335025380711,304.096446700508,0.924900223052249,0.00130968010921721,0.000310946886183538,0.368553144352779,5.35895104058172,7.2342578424775,9.70496181006451
121,171,1.20235995434967,1.57220204758738,3.44325484322786,201.830409356725,227.169590643275,303.549707602339,0.756966793575798,0.00112085294183371,0.000383901536486469,0.370121687529066,4.78977842288904,7.530499443956,9.05437096766513
146,141,1.16444681160624,1.35567371033207,3.22881752010347,200.468085106383,237.127659574468,304.63829787234,0.651910021256953,0.00115028299937844,0.00040042186923294,0.106845085746614,5.01106645210182,6.79337104984141,7.91051925904597
153,145,1.4726504334114,1.22077324658052,3.25906581568411,451.351724137931,339.579310344828,305.827586206897,0.52717418039931,0.00105109782849342,0.00030115834939547,-0.544440732329035,5.01571942832505,6.12305609045337,9.01712120540848
159,146,1.18264025752756,1.39893783192037,3.2665407634644,193.315068493151,183.678082191781,305.260273972603,0.883698435742201,0.00105989265494042,0.000417539721029722,0.24628049473453,4.93895324546904,6.90928854517251,8.17120278439503
176,106,1.33026733697324,1.37387608351125,2.93588530598523,470.254716981132,263.792452830189,305.150943396226,0.482471895631247,0.00125579393846598,0.000326376165146399,-0.441504188461914,4.32007277436053,5.93524466372201,7.89546211309412
185,114,1.3364754642081,1.20585064111432,3.0079601661525,225.122807017544,186.956140350877,306.684210526316,0.649968375838722,0.00151561708812471,0.000442988100662982,-0.362042197016606,4.82080317714372,5.81316860184472,7.76915720567037
195,150,1.17842194437528,1.40739351099114,3.29610382525443,198.446666666667,245.546666666667,306.526666666667,0.727227834237262,0.0011430034400352,0.000384595027400633,0.0849164454286502,4.96958636273889,6.99416359922879,8.24207586788203
225,139,1.24936833241134,1.35423170614156,3.21347848819807,423.834532374101,253.78417266187,307.539568345324,0.644238678949747,0.00150186853004258,0.000443420751084439,-0.271820253254366,4.87505937732662,6.60195997809845,8.24827972848323
248,151,1.22013326543283,1.24017599228315,3.3034122833845,411.549668874172,246.688741721854,308.251655629139,0.599929461333164,0.00112369077184564,0.000301210945694585,-0.177792984728856,5.35634003172706,6.64280431385307,8.10510651909283
257,159,1.30556140474821,1.23122615000881,3.36074972426434,273.421383647799,151.050314465409,310.22641509434,1.08168898080966,0.00138453908195813,0.000311755254779628,0.951443280825728,5.35354978553852,6.59143049132909,8.60551725155976
262,447,1.08252055138126,1.58075030899105,4.7432167531374,313.762863534676,171.326621923937,310.677852348993,0.688402214736656,0.00114689211874692,0.000332387243784726,0.242529196917586,6.80845753907029,10.7624713586378,11.6505964293776
273,336,1.60116142482318,1.30561991386469,4.31270967106941,428.327380952381,211.401785714286,310.767857142857,0.823917506878004,0.00139870964769562,0.000370793862882156,0.202556348912777,6.17197277717806,8.05825056571441,12.9025599573815
285,227,1.27446150241624,1.30788949587461,3.78424357838373,256.57268722467,138.352422907489,311.550660792952,0.94207678761953,0.00106581433618232,0.000425769101638837,0.781588241165305,5.83695219801909,7.63408846771137,9.72935185813792
288,448,1.18570780263883,1.35644735467562,4.74675119315849,234.919642857143,164.720982142857,311.870535714286,0.473374022866958,0.00147872323343888,0.000341564362685817,-0.318990697715755,7.31978979315962,9.92890950171294,11.7727854678759
303,329,1.68865221848917,1.33836186559626,4.28254987544995,309.139817629179,216.282674772036,311.191489361702,0.75737312741467,0.00124213894394631,0.000310150362261615,1.09290273116974,5.92247611377224,7.92641618057748,13.3849602680006
337,328,1.21925321666098,1.56217028266881,4.2782065155984,460.783536585366,273.746951219512,311.707317073171,0.626655529412957,0.00135158750983864,0.000422648491934392,-0.335051510545077,5.9489664889295,9.29329866159827,11.3308842865448
348,161,1.29048627142007,1.60398991418763,3.37478224494861,202.248447204969,181.95652173913,313.024844720497,0.511675610322278,0.00113309795211896,0.000366269324199191,-0.232747529968971,4.52435700088191,7.25702299759879,9.36508854978097
358,168,1.165628484409,1.35763992384779,3.4229999343445,204.27380952381,249.178571428571,312.732142857143,1.06640519819262,0.00109474576674984,0.000392530645631189,1.14444842624353,5.30550956811164,7.20297160602481,8.39598887637175
366,100,1.5105252204597,1.22887438390447,2.87941191148486,265.66,149.04,313.76,0.78365600096855,0.00143749423557892,0.000370784954788267,0.15046835414925,4.37474561683623,5.37601282462841,8.12060295711601
396,250,1.29922832921242,1.33955045526795,3.90796320898386,416.116,255.6,313.808,1.00842695488627,0.00101367524219677,0.000339051161112901,0.393885852737852,5.89448568545322,7.89596098351927,10.2586561961442
411,326,1.37599958983961,1.86444106419847,4.2694932399195,375.273006134969,191.69018404908,314.837423312883,0.596545320853842,0.00131393168043014,0.000364563166591401,-0.134216036559851,5.06797485356816,9.44894042931773,13.0017381551602
412,198,1.43632616536283,1.54466721334659,3.61569837165075,256.550505050505,190.863636363636,315.868686868687,0.48931439444048,0.00148306434857659,0.000315242214307026,-0.491376865618467,4.79639063504151,7.40882735635125,10.6414925865833
425,180,1.39688255687918,1.394446601108,3.50263297482221,464.077777777778,269.377777777778,314.6,0.56735321204092,0.00151990898723145,0.000359252947199108,-0.0552947609527625,5.02076703896487,7.00119153243965,9.77984232903518
432,222,1.29457835344719,1.52017819057421,3.75625258638806,227.797297297297,148.103603603604,316.405405405405,0.589235205097737,0.00111700924425931,0.0003023806970313,0.157259352156252,5.21369560708538,7.92574635418376,10.2604996650393
465,172,1.21826090998021,1.59191770361454,3.44995379949919,218.424418604651,219.017441860465,316.122093023256,0.610709366429169,0.00115271808554521,0.000374590240904169,-0.0862665937284213,4.73859323485442,7.54345046079285,9.18989082275614
478,220,1.79551876254271,1.49499993851063,3.74493850403921,459.468181818182,262.163636363636,315.445454545455,0.447706589917002,0.00188008115245876,0.000449331658225377,-0.28935467696209,4.71321502782016,7.0462561767785,12.6516851710882
484,128,1.07607588750853,1.27427792891376,3.12637056718709,375.7421875,492.265625,314.9375,0.733014772168528,0.00132248767795318,0.000408329788235713,-0.447823376138408,5.19134679503022,6.61521864224419,7.1184772715159
489,338,1.98194092172671,1.35752735778943,4.32124971252273,299.147928994083,158.94674556213,317.60650887574,0.57140299353064,0.00114420569087131,0.000289778653585786,0.155381540701692,5.61190181461554,7.61831024256874,15.0990408241567
503,181,1.95939312126886,1.23776591476129,3.50910735734672,303.950276243094,202.828729281768,316.314917127072,0.439996105486716,0.00145032274336117,0.00029125493083676,-0.619221197820921,4.86512248351969,6.02188278123946,11.799235698648
519,146,1.16821744210582,1.37293280785196,3.2665407634644,197.650684931507,260.712328767123,316.232876712329,0.961383008856543,0.00108079430116947,0.000398242998675635,0.430774798137338,5.02162171508612,6.89434920126357,8.05409898888441
545,363,1.33655924910086,1.56341828871583,4.42526556783014,359.407713498623,247.132231404959,320.308539944904,0.556476582984148,0.00121169015553526,0.000334910201735449,0.26280003688163,5.9647164590523,9.3253467990867,12.4638785153925
567,105,1.27055218179214,1.308731179314,2.92662377660251,233.571428571429,180.32380952381,317.971428571429,0.419343299028792,0.00148946114405546,0.000313674735979082,-0.40041656912784,4.51681625796828,5.91129826803549,7.51061291167659
590,136,1.05130422511256,1.78872890163769,3.19019159401085,131.845588235294,239.779411764706,318.477941176471,0.476872177643543,0.00122825999321375,0.000287244414394784,-0.161324238263483,4.25834596746089,7.61702650516961,8.00781214767917
614,272,1.247484427787,1.70352768569767,4.01938954249195,211.786764705882,183.047794117647,319.650735294118,0.860083159841266,0.00113178330245907,0.000399146876693833,1.22798776038664,5.23534836666611,8.91856088688777,11.1257658246627
672,312,1.64706714325839,1.35078959947951,4.207479366835,420.727564102564,210.012820512821,321.528846153846,0.559837024740848,0.00164428834530274,0.000416393778780733,-0.271395127523038,5.83117959202946,7.87669674561059,12.9734484071055
720,168,1.21647661966312,1.30029177314878,3.4229999343445,90.4880952380952,194.083333333333,321.940476190476,0.467217560107724,0.00124740955756611,0.000293544972700783,-0.398439736391803,5.3832153601956,6.99975064595047,8.51503300427058
752,105,1.46391045477124,1.34387319465764,2.92662377660251,239.019047619048,172.695238095238,321.857142857143,0.530890348366822,0.00184996773466645,0.000348440102752522,0.454051353265086,4.23304800693917,5.6886797482245,8.3277177572713
759,213,1.14103501706827,1.21362883960221,3.70479058840599,398.211267605634,206.009389671361,323.492957746479,0.663975314307761,0.00133435342580019,0.000426413278479126,0.0575871286347924,6.23213344572434,7.56349688198058,8.6302147938265
789,183,1.3722280371515,1.279336015636,3.5219849309418,336.579234972678,153.092896174863,324.907103825137,0.986733892001336,0.00114723677489947,0.000347973684468159,0.263954237483086,5.37880304597219,6.88129645772484,9.44270793124132
801,192,1.42109818040325,1.49896340768031,3.5788009157586,217.744791666667,188.213541666667,323.651041666667,0.899711812036057,0.00116268158702345,0.000375951357192499,0.76319761513164,4.86070003156418,7.28601148302521,10.3541376609243
861,264,1.48331217659551,1.52832133713641,3.97959099237918,179.92803030303,265.208333333333,326.238636363636,0.409649492785288,0.00119808935172235,0.00033955059613087,-0.145902418289808,5.2599441149393,8.03888482300682,11.9241757442148
